period,rate_type,exchanges_included,base_asset,calc_window,partition_size,start_time,end_time
Q22021,index_fixing,"cbse,gmni,itbi,krkn,stmp",btc,3600,360,2021-06-21 22:30:00+00:00,2021-09-20 22:30:00+00:00
Q22021,index_fixing,"cbse,gmni,krkn,lmax,stmp",eth,3600,360,2021-06-21 22:30:00+00:00,2021-09-20 22:30:00+00:00
Q22021,index_fixing,"lmax,eris,stmp,itbi",btc,3600,360,2021-06-21 22:30:00+00:00,2021-09-20 22:30:00+00:00
Q22021,index_fixing,"lmax,eris,stmp,itbi",eth,3600,360,2021-06-21 22:30:00+00:00,2021-09-20 22:30:00+00:00
Q22021,real_time,"cbse,krkn,lmax,stmp",btc,60,6,2021-06-21 22:30:00+00:00,2021-09-20 22:30:00+00:00
Q22021,index_fixing,"cbse,krkn,lmax,stmp",btc,300,30,2021-06-21 22:30:00+00:00,2021-09-20 22:30:00+00:00
Q22021,index_fixing,"cbse,krkn,lmax,stmp",btc,300,30,2021-06-21 22:30:00+00:00,2021-09-20 22:30:00+00:00
Q22021,real_time,"cbse,krkn,lmax,stmp",eth,60,6,2021-06-21 22:30:00+00:00,2021-09-20 22:30:00+00:00
Q22021,index_fixing,"cbse,krkn,lmax,stmp",eth,300,30,2021-06-21 22:30:00+00:00,2021-09-20 22:30:00+00:00
Q22021,index_fixing,"cbse,krkn,lmax,stmp",eth,300,30,2021-06-21 22:30:00+00:00,2021-09-20 22:30:00+00:00
Q22021,real_time,"bequ,binc,cbse,hitb,polo",btc,300,30,2021-06-21 22:30:00+00:00,2021-09-20 22:30:00+00:00
Q22021,real_time,"binc,bitz,huob,okex,zbcn",btc,300,30,2021-06-21 22:30:00+00:00,2021-09-20 22:30:00+00:00
Q22021,real_time,"bequ,binc,cbse,hitb,polo",eth,300,30,2021-06-21 22:30:00+00:00,2021-09-20 22:30:00+00:00
Q22021,real_time,"bequ,binc,bitz,hitb,huob",eth,300,30,2021-06-21 22:30:00+00:00,2021-09-20 22:30:00+00:00
Q22021,real_time,"cbse,gmni,krkn,stmp",aave,300,30,2021-06-21 22:30:00+00:00,2021-09-20 22:30:00+00:00
Q22021,index_fixing,"cbse,gmni,krkn,stmp",aave,300,30,2021-06-21 22:30:00+00:00,2021-09-20 22:30:00+00:00
Q22021,index_fixing,"cbse,gmni,krkn,stmp",aave,300,30,2021-06-21 22:30:00+00:00,2021-09-20 22:30:00+00:00
Q22021,index_fixing,"cbse,gmni,krkn,stmp",aave,600,60,2021-06-21 22:30:00+00:00,2021-09-20 22:30:00+00:00
Q22021,real_time,"btrx,cbse,krkn",ada,300,30,2021-06-21 22:30:00+00:00,2021-09-20 22:30:00+00:00
Q22021,index_fixing,"btrx,cbse,krkn",ada,300,30,2021-06-21 22:30:00+00:00,2021-09-20 22:30:00+00:00
Q22021,index_fixing,"btrx,cbse,krkn",ada,900,90,2021-06-21 22:30:00+00:00,2021-09-20 22:30:00+00:00
Q22021,index_fixing,"btrx,cbse,krkn",ada,900,90,2021-06-21 22:30:00+00:00,2021-09-20 22:30:00+00:00
Q22021,real_time,"btrx,cbse,cexi,gmni,krkn",bat,300,30,2021-06-21 22:30:00+00:00,2021-09-20 22:30:00+00:00
Q22021,index_fixing,"btrx,cbse,cexi,gmni,krkn",bat,1800,180,2021-06-21 22:30:00+00:00,2021-09-20 22:30:00+00:00
Q22021,index_fixing,"btrx,cbse,gmni,krkn,stmp",bat,3600,360,2021-06-21 22:30:00+00:00,2021-09-20 22:30:00+00:00
Q22021,index_fixing,"btrx,cbse,cexi,gmni,krkn",bat,3600,360,2021-06-21 22:30:00+00:00,2021-09-20 22:30:00+00:00
Q22021,real_time,"cbse,gmni,krkn,lmax,stmp",bch,30,3,2021-06-21 22:30:00+00:00,2021-09-20 22:30:00+00:00
Q22021,index_fixing,"cbse,gmni,krkn,lmax,stmp",bch,300,30,2021-06-21 22:30:00+00:00,2021-09-20 22:30:00+00:00
Q22021,index_fixing,"cbse,gmni,krkn,lmax,stmp",bch,300,30,2021-06-21 22:30:00+00:00,2021-09-20 22:30:00+00:00
Q22021,index_fixing,"cbse,gmni,krkn,lmax,stmp",bch,300,30,2021-06-21 22:30:00+00:00,2021-09-20 22:30:00+00:00
Q22021,real_time,"cbse,krkn,lmax,stmp",btc,60,6,2021-06-21 22:30:00+00:00,2021-09-20 22:30:00+00:00
Q22021,real_time,"cbse,krkn,lmax,stmp",btc,60,6,2021-06-21 22:30:00+00:00,2021-09-20 22:30:00+00:00
Q22021,real_time,"cbse,cexi,gmni,krkn,stmp",btc,60,6,2021-06-21 22:30:00+00:00,2021-09-20 22:30:00+00:00
Q22021,real_time,"cbse,cexi,gmni,krkn,stmp",btc,60,6,2021-06-21 22:30:00+00:00,2021-09-20 22:30:00+00:00
Q22021,real_time,"cbse,gmni,itbi,krkn,stmp",btc,15,3,2021-06-21 22:30:00+00:00,2021-09-20 22:30:00+00:00
Q22021,index_fixing,"cbse,gmni,itbi,krkn,stmp",btc,300,30,2021-06-21 22:30:00+00:00,2021-09-20 22:30:00+00:00
Q22021,real_time,"cbse,gmni,itbi,krkn,stmp",btc,15,3,2021-06-21 22:30:00+00:00,2021-09-20 22:30:00+00:00
Q22021,index_fixing,"cbse,gmni,itbi,krkn,stmp",btc,3600,360,2021-06-21 22:30:00+00:00,2021-09-20 22:30:00+00:00
Q22021,index_fixing,"cbse,gmni,itbi,krkn,stmp",btc,300,30,2021-06-21 22:30:00+00:00,2021-09-20 22:30:00+00:00
Q22021,index_fixing,"cbse,gmni,itbi,krkn,stmp",btc,300,30,2021-06-21 22:30:00+00:00,2021-09-20 22:30:00+00:00
Q22021,index_fixing,"cbse,gmni,krkn,lmax,stmp",btc,300,30,2021-06-21 22:30:00+00:00,2021-09-20 22:30:00+00:00
Q22021,real_time,"cbse,cexi,gmni,krkn",crv,300,30,2021-06-21 22:30:00+00:00,2021-09-20 22:30:00+00:00
Q22021,index_fixing,"cbse,cexi,gmni,krkn",crv,600,60,2021-06-21 22:30:00+00:00,2021-09-20 22:30:00+00:00
Q22021,index_fixing,"cbse,cexi,gmni,krkn",crv,300,30,2021-06-21 22:30:00+00:00,2021-09-20 22:30:00+00:00
Q22021,index_fixing,"cbse,cexi,gmni,krkn",crv,600,60,2021-06-21 22:30:00+00:00,2021-09-20 22:30:00+00:00
Q22021,real_time,"cbse,gmni,krkn,stmp",dai,300,30,2021-06-21 22:30:00+00:00,2021-09-20 22:30:00+00:00
Q22021,index_fixing,"cbse,gmni,krkn,stmp",dai,1800,180,2021-06-21 22:30:00+00:00,2021-09-20 22:30:00+00:00
Q22021,index_fixing,"cbse,gmni,krkn,stmp",dai,3600,360,2021-06-21 22:30:00+00:00,2021-09-20 22:30:00+00:00
